iter	Logloss
0	0.6885583086
1	0.6821280459
2	0.6772213421
3	0.6713239682
4	0.6664114311
5	0.6615806995
6	0.6580961974
7	0.655194327
8	0.650706326
9	0.6454492611
10	0.6409650051
11	0.6372272407
12	0.6335767379
13	0.6301503594
14	0.6275978085
15	0.6247573147
16	0.6216208174
17	0.6202009236
18	0.6169007767
19	0.6151962097
20	0.6126491793
21	0.6102902827
22	0.608949977
23	0.6057680031
24	0.6031223464
25	0.6010541401
26	0.5986771663
27	0.5970072135
28	0.5949898956
29	0.5937999416
30	0.5918687046
31	0.5903802097
32	0.589433411
33	0.5882354037
34	0.5865895471
35	0.5847594549
36	0.5837913355
37	0.5819733143
38	0.5808469007
39	0.5792315806
40	0.5783014782
41	0.5767226565
42	0.5752922578
43	0.5740043453
44	0.5727440451
45	0.571735623
46	0.5707434632
47	0.5692468022
48	0.5683030914
49	0.5677032088
50	0.5664832399
51	0.5651977254
52	0.5640249389
53	0.5635097379
54	0.5627306679
55	0.5619636074
56	0.5612494289
57	0.5605444767
58	0.5597938128
59	0.5588112447
60	0.557518114
61	0.5567449567
62	0.5559480693
63	0.5547026629
64	0.5537994744
65	0.5532252542
66	0.551959002
67	0.5510499965
68	0.5505877738
69	0.5498090774
70	0.549441685
71	0.5484059198
72	0.547305529
73	0.5466703279
74	0.5462166949
75	0.5457801807
76	0.5451647743
77	0.5443465605
78	0.5437484539
79	0.5430926996
80	0.5427537732
81	0.5422256243
82	0.5414380018
83	0.5407257714
84	0.5397630809
85	0.5390959684
86	0.5388119137
87	0.538072755
88	0.5374447191
89	0.5368254788
90	0.5359280618
91	0.535380564
92	0.5346888769
93	0.5342762434
94	0.5339364871
95	0.5335284104
96	0.5330359491
97	0.5322518303
98	0.5320537236
99	0.5313171289
100	0.5311902429
101	0.5305335659
102	0.5302287237
103	0.5299071316
104	0.5295231704
105	0.5293412426
106	0.5288505364
107	0.528194119
108	0.5278393694
109	0.5276203655
110	0.5270584466
111	0.5266317948
112	0.5261701505
113	0.525887778
114	0.5253973668
115	0.5249444874
116	0.5243768027
117	0.5239168823
118	0.5231498535
119	0.5225520867
120	0.5220796966
121	0.5215107083
122	0.5207655289
123	0.5203389466
124	0.5200548135
125	0.5196452554
126	0.5195131224
127	0.519004785
128	0.5185270208
129	0.5180333627
130	0.5177124825
131	0.5173423312
132	0.5168403015
133	0.5165036275
134	0.5162513942
135	0.5157442621
136	0.5154671005
137	0.5151033208
138	0.5147536283
139	0.5144019777
140	0.5138758067
141	0.5130276474
142	0.5123480368
143	0.5121686928
144	0.5118075077
145	0.5114840856
146	0.5112903559
147	0.5108914809
148	0.510554924
149	0.5100065381
150	0.5096316893
151	0.5092224857
152	0.5088519667
153	0.5086867665
154	0.5083414614
155	0.5078771796
156	0.5074136004
157	0.5070840881
158	0.5066809975
159	0.5063614351
160	0.5062033717
161	0.5059169525
162	0.5054125914
163	0.5050393437
164	0.5046259825
165	0.5042266515
166	0.5040461338
167	0.503678411
168	0.5031769618
169	0.5026422878
170	0.5018933633
171	0.5012157819
172	0.5008001499
173	0.5004753845
174	0.5001761036
175	0.499798733
176	0.4993422993
177	0.4989809054
178	0.4987817454
179	0.4985937986
180	0.4982726082
181	0.4979004623
182	0.497396554
183	0.4970441612
184	0.4967413816
185	0.4963341651
186	0.4961382585
187	0.4958158688
188	0.4955325936
189	0.4952609807
190	0.4944752009
191	0.4941683133
192	0.4937420485
193	0.4933606091
194	0.493004338
195	0.4926776842
196	0.4922323996
197	0.4918042352
198	0.4914741485
199	0.491155772
200	0.490429745
201	0.490063945
202	0.4895816273
203	0.4893408216
204	0.4884945218
205	0.4881506251
206	0.4874070572
207	0.4871899285
208	0.4867566224
209	0.4863405803
210	0.4858608233
211	0.4854536658
212	0.4851324087
213	0.4848230953
214	0.4846475667
215	0.4843532834
216	0.483954768
217	0.4837630799
218	0.4834018891
219	0.4830353398
220	0.482450156
221	0.4821468509
222	0.4818669837
223	0.4811298
224	0.4806845124
225	0.4802454876
226	0.4797352225
227	0.4792649217
228	0.4787504708
229	0.4783856232
230	0.4778539026
231	0.4774537462
232	0.4771940402
233	0.4768602686
234	0.4764551772
235	0.4761721532
236	0.475973711
237	0.4757495074
238	0.4755775645
239	0.4750752876
240	0.4745314941
241	0.4742498317
242	0.4737093517
243	0.473419738
244	0.4730660667
245	0.4727937252
246	0.4724313406
247	0.4720294335
248	0.4718280502
249	0.4716141543
250	0.4712839062
