iter	Passed	Remaining
0	0	167
1	0	202
2	1	196
3	1	200
4	2	200
5	2	203
6	3	196
7	3	194
8	4	192
9	4	194
10	4	194
11	5	194
12	5	192
13	6	190
14	6	190
15	7	191
16	7	190
17	8	189
18	8	187
19	8	187
20	9	187
21	9	185
22	10	183
23	10	181
24	10	180
25	11	181
26	11	180
27	12	181
28	12	181
29	13	181
30	13	179
31	14	178
32	14	179
33	15	179
34	15	178
35	15	177
36	16	177
37	16	177
38	17	177
39	17	176
40	18	176
41	18	176
42	19	176
43	19	176
44	20	175
45	20	175
46	20	174
47	21	173
48	21	172
49	22	172
50	22	171
51	22	171
52	23	170
53	23	169
54	24	169
55	24	169
56	25	169
57	25	168
58	26	168
59	26	168
60	27	168
61	27	168
62	28	172
63	29	172
64	29	171
65	30	170
66	30	170
67	31	169
68	31	169
69	31	168
70	32	167
71	32	167
72	33	167
73	33	166
74	34	165
75	34	165
76	35	165
77	35	164
78	35	164
79	36	163
80	36	163
81	37	163
82	37	162
83	38	162
84	38	161
85	39	161
86	39	160
87	39	159
88	40	159
89	41	161
90	41	160
91	42	160
92	42	160
93	43	159
94	43	159
95	44	159
96	44	158
97	45	158
98	45	157
99	46	157
100	46	156
101	47	156
102	47	155
103	48	155
104	48	154
105	49	154
106	49	153
107	49	153
108	50	153
109	50	152
110	51	152
111	51	151
112	52	151
113	52	151
114	53	150
115	54	151
116	54	150
117	54	150
118	55	149
119	55	149
120	56	148
121	56	148
122	57	147
123	57	147
124	58	147
125	58	146
126	59	146
127	59	145
128	60	145
129	60	144
130	61	144
131	61	144
132	62	143
133	62	143
134	63	143
135	63	142
136	64	141
137	64	141
138	65	141
139	65	140
140	66	140
141	66	139
142	67	139
143	67	139
144	68	138
145	68	138
146	68	137
147	69	136
148	69	136
149	70	136
150	70	135
151	71	135
152	71	134
153	72	134
154	72	133
155	73	133
156	73	132
157	74	132
158	74	131
159	74	131
160	75	130
161	75	130
162	76	129
163	76	129
164	77	128
165	77	128
166	78	127
167	78	127
168	79	127
169	79	126
170	80	126
171	80	125
172	81	125
173	81	124
174	82	124
175	82	123
176	82	123
177	83	122
178	83	122
179	84	122
180	85	121
181	85	121
182	85	120
183	86	120
184	86	119
185	87	119
186	87	118
187	88	118
188	88	117
189	89	117
190	89	117
191	90	116
192	90	116
193	91	115
194	91	115
195	92	114
196	92	114
197	93	114
198	93	113
199	94	113
200	94	112
201	95	112
202	95	111
203	96	111
204	96	110
205	97	110
206	97	109
207	98	109
208	98	109
209	99	108
210	99	108
211	100	107
212	100	106
213	100	106
214	101	105
215	101	105
216	102	104
217	102	104
218	102	103
219	103	103
220	103	102
221	104	102
222	104	101
223	105	101
224	105	100
225	105	100
226	106	99
227	106	99
228	107	98
229	107	98
230	108	97
231	108	97
232	108	96
233	109	96
234	109	95
235	110	95
236	110	94
237	110	94
238	111	93
239	111	93
240	112	92
241	112	92
242	113	91
243	113	91
244	114	90
245	114	90
246	114	89
247	115	89
248	115	88
249	116	88
250	117	88
251	117	87
252	118	87
253	118	86
254	119	86
255	119	86
256	120	85
257	120	85
258	121	84
259	121	84
260	122	83
261	122	83
262	123	82
263	123	82
264	124	81
265	124	81
266	125	81
267	125	80
268	126	80
269	126	79
270	127	79
271	127	78
272	127	78
273	128	77
274	128	77
275	129	76
276	129	76
277	130	75
278	130	75
279	131	74
280	131	74
281	132	74
282	132	73
283	133	73
284	133	72
285	134	72
286	134	71
287	135	71
288	135	70
289	136	70
290	136	69
291	137	69
292	137	69
293	138	68
294	139	68
295	140	68
296	140	67
297	141	67
298	141	66
299	142	66
300	142	65
301	143	65
302	143	64
303	144	64
304	144	63
305	145	63
306	145	63
307	145	62
308	146	62
309	146	61
310	147	61
311	147	60
312	148	60
313	148	59
314	149	59
315	149	58
316	150	58
317	150	57
318	151	57
319	151	56
320	151	56
321	152	55
322	153	55
323	153	54
324	154	54
325	154	54
326	154	53
327	155	53
328	155	52
329	156	52
330	156	51
331	157	51
332	157	50
333	158	50
334	158	49
335	159	49
336	159	48
337	159	48
338	160	47
339	160	47
340	161	46
341	161	46
342	162	45
343	162	45
344	163	44
345	163	44
346	164	44
347	164	43
348	165	43
349	165	42
350	166	42
351	166	41
352	167	41
353	167	40
354	168	40
355	168	39
356	169	39
357	169	38
358	170	38
359	170	37
360	170	37
361	171	36
362	171	36
363	172	35
364	172	35
365	173	35
366	173	34
367	174	34
368	174	33
369	174	33
370	175	32
371	176	32
372	176	31
373	177	31
374	177	30
375	177	30
376	178	29
377	178	29
378	179	28
379	179	28
380	180	27
381	180	27
382	181	26
383	181	26
384	182	26
385	182	25
386	183	25
387	183	24
388	184	24
389	184	23
390	184	23
391	185	22
392	185	22
393	186	21
394	186	21
395	187	20
396	187	20
397	188	19
398	188	19
399	189	18
400	189	18
401	190	17
402	190	17
403	190	17
404	191	16
405	191	16
406	192	15
407	192	15
408	193	14
409	193	14
410	194	13
411	194	13
412	195	12
413	195	12
414	195	11
415	196	11
416	196	10
417	197	10
418	197	9
419	198	9
420	198	8
421	199	8
422	199	8
423	200	7
424	200	7
425	201	6
426	201	6
427	201	5
428	202	5
429	202	4
430	203	4
431	203	3
432	204	3
433	204	2
434	205	2
435	205	1
436	206	1
437	207	0
438	207	0
439	208	0
